seed_id,area_px,n_mols_in_nucleus,matched_prelab,reliable
1,97,26,,0
2,95,36,,0
3,98,27,,0
4,94,34,,0
5,95,35,,0
6,95,33,,0
7,96,31,,0
8,97,22,,0
9,93,21,,0
10,97,23,,0
11,95,16,,0
12,96,29,,0
13,98,19,,0
14,97,35,,0
15,95,34,,0
16,94,24,,0
17,97,25,,0
18,96,22,,0
19,97,22,,0
20,95,23,,0
21,97,28,,0
22,96,27,,0
23,97,23,,0
24,96,28,,0
25,96,18,,0
26,93,32,,0
27,99,33,,0
28,95,38,,0
29,94,21,,0
30,98,21,,0
31,90,29,,0
32,96,19,,0
33,96,27,,0
34,94,26,,0
35,95,17,,0
36,96,20,,0
37,96,20,,0
38,95,24,,0
39,98,23,,0
40,97,22,,0
41,96,26,,0
42,95,18,,0
43,97,17,,0
44,96,16,,0
45,97,19,,0
46,94,19,,0
47,96,22,,0
48,93,35,,0
49,98,17,,0
50,91,30,,0
51,95,24,,0
52,94,19,,0
53,96,18,,0
54,98,22,,0
55,94,23,,0
56,92,13,,0
57,99,30,,0
58,97,29,,0
59,94,20,,0
60,93,26,,0
61,96,22,,0
62,95,22,,0
63,97,29,,0
64,94,18,,0
65,95,27,,0
66,94,25,,0
67,96,24,,0
68,96,34,,0
69,96,20,,0
70,94,32,,0
71,98,23,,0
72,95,31,,0
73,94,23,,0
74,97,16,,0
75,95,28,,0
76,94,21,,0
77,96,35,,0
78,97,23,,0
79,97,25,,0
80,91,28,,0
81,95,32,,0
82,95,22,,0
83,90,30,,0
84,95,27,,0
85,95,27,,0
86,97,21,,0
87,95,14,,0
88,95,31,,0
89,93,20,,0
90,94,21,,0
91,96,20,,0
92,98,21,,0
93,97,17,,0
94,97,23,,0
95,96,28,,0
96,96,36,,0
97,96,36,,0
98,99,25,,0
99,96,24,,0
100,91,29,,0
101,94,22,,0
102,97,28,,0
103,98,16,,0
104,96,21,,0
105,95,18,,0
106,101,29,,0
107,95,32,,0
108,94,12,,0
109,95,19,,0
110,98,20,,0
111,96,19,,0
112,95,21,,0
113,97,24,,0
114,95,18,,0
115,97,23,,0
116,92,31,,0
117,98,19,,0
118,96,27,,0
119,97,26,,0
120,97,27,,0
121,93,21,,0
122,94,27,,0
123,92,20,,0
124,93,21,,0
125,95,25,,0
126,97,27,,0
127,95,22,,0
128,97,17,,0
129,91,18,,0
130,94,35,,0
131,95,19,,0
132,96,16,,0
133,97,25,,0
134,94,27,,0
135,92,29,,0
136,96,31,,0
137,96,32,,0
138,97,23,,0
139,95,20,,0
140,98,17,,0
141,90,22,,0
142,95,23,,0
143,98,23,,0
144,96,19,,0
145,95,23,,0
146,97,25,,0
147,96,25,,0
148,95,29,,0
149,97,15,,0
150,98,12,,0
151,94,31,,0
152,97,25,,0
153,96,27,,0
154,100,29,,0
155,98,31,,0
156,97,23,,0
157,95,23,,0
158,97,27,,0
159,94,25,,0
160,97,28,,0
161,96,23,,0
162,96,21,,0
163,90,24,,0
164,98,23,,0
165,93,41,,0
166,97,37,,0
167,93,23,,0
168,96,26,,0
169,95,21,,0
170,97,18,,0
171,96,23,,0
172,98,21,,0
173,95,23,,0
174,96,22,,0
175,96,21,,0
176,95,18,,0
177,96,34,,0
178,96,19,,0
179,95,28,,0
180,96,13,,0
181,96,32,,0
182,93,27,,0
183,96,19,,0
184,97,32,,0
185,95,21,,0
186,98,27,,0
187,97,18,,0
188,93,17,,0
189,96,34,,0
190,95,29,,0
191,95,25,,0
192,94,20,,0
193,93,20,,0
194,95,40,,0
195,95,27,,0
196,97,27,,0
197,91,21,,0
198,93,42,,0
199,95,32,,0
200,98,28,,0
201,96,30,,0
202,95,39,,0
203,97,17,,0
204,99,27,,0
205,93,27,,0
206,96,25,,0
207,96,15,,0
208,96,19,,0
209,96,17,,0
210,96,25,,0
211,99,25,,0
212,97,26,,0
213,92,23,,0
214,95,27,,0
215,96,18,,0
216,95,36,,0
217,95,31,,0
218,93,19,,0
219,95,26,,0
220,98,21,,0
221,96,28,,0
222,97,27,,0
223,98,22,,0
224,95,25,,0
225,96,26,,0
226,97,30,,0
227,97,30,,0
228,96,25,,0
229,97,33,,0
230,96,17,,0
231,95,29,,0
232,97,32,,0
233,97,20,,0
234,97,23,,0
235,97,21,,0
236,97,30,,0
237,97,28,,0
238,99,19,,0
239,94,35,,0
240,94,39,,0
241,95,36,,0
242,98,22,,0
243,95,17,,0
244,97,25,,0
245,97,32,,0
246,94,22,,0
247,96,32,,0
248,96,28,,0
249,98,23,,0
250,97,24,,0
251,95,21,,0
252,98,24,,0
253,96,33,,0
254,96,12,,0
255,95,24,,0
256,97,14,,0
257,96,32,,0
258,98,23,,0
259,95,25,,0
260,98,23,,0
261,98,39,,0
262,91,19,,0
263,93,25,,0
264,95,12,,0
265,92,27,,0
266,96,21,,0
267,97,25,,0
268,94,26,,0
269,97,26,,0
270,94,23,,0
271,94,30,,0
272,95,18,,0
273,96,27,,0
274,96,15,,0
275,97,25,,0
276,95,23,,0
277,99,38,,0
278,97,18,,0
279,93,21,,0
280,98,34,,0
