seed_id,x,y,d_nn,R_i,sigma,margin_i,crowded
1,570.1,65.1,111.5,31.5,12.84,0.20,0
2,1059.2,67.9,22.0,9.9,12.84,0.35,1
3,1138.2,77.6,77.3,31.5,12.84,0.20,0
4,814.8,84.3,22.0,9.9,12.84,0.35,1
5,836.7,84.1,22.0,9.9,12.84,0.35,1
6,101.9,88.0,97.9,31.5,12.84,0.20,0
7,1061.9,89.7,22.0,9.9,12.84,0.35,1
8,1387.1,95.7,69.6,31.3,12.84,0.20,0
9,283.0,96.8,65.9,29.7,12.84,0.20,0
10,713.2,104.9,59.1,26.6,12.84,0.20,0
11,447.7,106.8,57.4,25.8,12.84,0.20,0
12,772.2,108.5,49.0,22.0,12.84,0.20,0
13,905.1,120.7,72.2,31.5,12.84,0.20,0
14,215.2,122.1,22.0,9.9,12.84,0.35,1
15,193.2,123.3,22.0,9.9,12.84,0.35,1
16,1323.7,124.3,69.6,31.3,12.84,0.20,0
17,340.0,130.0,60.9,27.4,12.84,0.20,0
18,1238.7,130.0,85.2,31.5,12.84,0.20,0
19,413.9,153.1,57.4,25.8,12.84,0.20,0
20,1121.3,153.2,77.5,31.5,12.84,0.20,0
21,1006.1,161.1,82.3,31.5,12.84,0.20,0
22,820.1,162.2,60.9,27.4,12.84,0.20,0
23,759.2,163.8,56.8,25.6,12.84,0.20,0
24,524.8,167.0,94.3,31.5,12.84,0.20,0
25,240.2,172.1,55.9,25.2,12.84,0.20,0
26,1403.7,178.5,21.8,9.8,12.84,0.35,1
27,1425.4,180.0,21.8,9.8,12.84,0.35,1
28,309.0,182.4,22.0,9.9,12.84,0.35,1
29,615.3,193.3,78.5,31.5,12.84,0.20,0
30,900.8,192.8,72.2,31.5,12.84,0.20,0
31,321.6,200.5,22.0,9.9,12.84,0.35,1
32,1219.3,215.1,59.6,26.8,12.84,0.20,0
33,1067.2,216.1,82.3,31.5,12.84,0.20,0
34,101.9,229.7,99.4,31.5,12.84,0.20,0
35,1330.4,230.2,71.3,31.5,12.84,0.20,0
36,240.9,243.9,70.8,31.5,12.84,0.20,0
37,409.2,252.5,59.5,26.8,12.84,0.20,0
38,664.1,254.8,63.0,28.3,12.84,0.20,0
39,735.1,255.6,71.0,31.5,12.84,0.20,0
40,846.2,260.9,77.3,31.5,12.84,0.20,0
41,1430.1,264.2,80.9,31.5,12.84,0.20,0
42,505.8,267.2,95.5,31.5,12.84,0.20,0
43,993.4,268.0,72.2,31.5,12.84,0.20,0
44,601.2,271.9,56.8,25.6,12.84,0.20,0
45,1205.5,273.1,59.6,26.8,12.84,0.20,0
46,357.1,281.1,59.5,26.8,12.84,0.20,0
47,1356.1,296.8,22.2,10.0,12.84,0.35,1
48,1337.4,308.7,22.2,10.0,12.84,0.35,1
49,640.3,313.1,56.8,25.6,12.84,0.20,0
50,233.5,314.3,63.4,28.5,12.84,0.20,0
51,936.7,313.8,72.9,31.5,12.84,0.20,0
52,1095.5,323.0,59.3,26.7,12.84,0.20,0
53,76.3,325.7,65.0,29.2,12.84,0.20,0
54,1278.0,332.2,63.9,28.8,12.84,0.20,0
55,742.4,333.3,68.4,30.8,12.84,0.20,0
56,819.6,333.5,67.7,30.5,12.84,0.20,0
57,431.9,335.3,22.0,9.9,12.84,0.35,1
58,409.9,336.4,22.0,9.9,12.84,0.35,1
59,1015.1,336.9,58.8,26.4,12.84,0.20,0
60,282.6,354.3,22.3,10.0,12.84,0.35,1
61,1395.6,356.9,71.9,31.5,12.84,0.20,0
62,132.2,358.8,65.0,29.2,12.84,0.20,0
63,301.8,365.7,22.3,10.0,12.84,0.35,1
64,878.8,366.5,67.7,30.5,12.84,0.20,0
65,542.9,367.8,21.9,9.8,12.84,0.35,1
66,1130.5,370.8,59.3,26.7,12.84,0.20,0
67,1061.9,372.4,58.8,26.4,12.84,0.20,0
68,522.5,375.8,21.9,9.8,12.84,0.35,1
69,667.7,390.6,67.8,30.5,12.84,0.20,0
70,745.7,401.5,68.4,30.8,12.84,0.20,0
71,408.9,403.1,61.7,27.8,12.84,0.20,0
72,583.5,408.9,57.7,26.0,12.84,0.20,0
73,78.1,423.9,22.1,10.0,12.84,0.35,1
74,353.0,429.2,57.5,25.9,12.84,0.20,0
75,1310.9,431.5,45.3,20.4,12.84,0.20,0
76,176.3,438.5,77.6,31.5,12.84,0.20,0
77,1253.5,439.1,22.1,10.0,12.84,0.35,1
78,93.0,440.3,22.1,10.0,12.84,0.35,1
79,478.1,444.3,73.4,31.5,12.84,0.20,0
80,1068.6,444.6,72.5,31.5,12.84,0.20,0
81,1389.8,449.9,21.9,9.8,12.84,0.35,1
82,299.8,451.0,57.5,25.9,12.84,0.20,0
83,678.4,457.5,67.8,30.5,12.84,0.20,0
84,1246.2,460.0,22.1,10.0,12.84,0.35,1
85,1405.0,465.7,21.9,9.8,12.84,0.35,1
86,859.1,473.6,106.3,31.5,12.84,0.20,0
87,987.0,474.7,87.0,31.5,12.84,0.20,0
88,1321.2,475.7,22.1,9.9,12.84,0.35,1
89,89.1,488.7,48.6,21.9,12.84,0.20,0
90,1160.6,492.9,77.4,31.5,12.84,0.20,0
91,408.3,496.2,22.1,9.9,12.84,0.35,1
92,1328.9,496.4,22.1,9.9,12.84,0.35,1
93,337.9,496.9,59.7,26.9,12.84,0.20,0
94,527.2,498.8,73.4,31.5,12.84,0.20,0
95,248.9,503.7,41.1,18.5,12.84,0.20,0
96,426.9,508.1,22.1,9.9,12.84,0.35,1
97,208.1,509.2,21.8,9.8,12.84,0.35,1
98,187.9,517.4,21.8,9.8,12.84,0.35,1
99,755.0,526.6,103.2,31.5,12.84,0.20,0
100,1095.4,534.6,77.4,31.5,12.84,0.20,0
101,1264.4,535.1,75.1,31.5,12.84,0.20,0
102,621.0,555.2,21.9,9.8,12.84,0.35,1
103,334.0,561.0,64.3,28.9,12.84,0.20,0
104,89.3,568.2,21.8,9.8,12.84,0.35,1
105,990.3,571.6,66.0,29.7,12.84,0.20,0
106,68.2,573.7,21.8,9.8,12.84,0.35,1
107,620.1,577.0,21.9,9.8,12.84,0.35,1
108,846.1,579.1,97.1,31.5,12.84,0.20,0
109,1186.4,583.8,58.2,26.2,12.84,0.20,0
110,199.6,585.1,58.5,26.3,12.84,0.20,0
111,141.9,595.0,58.5,26.3,12.84,0.20,0
112,1328.9,594.8,87.9,31.5,12.84,0.20,0
113,400.2,603.8,71.3,31.5,12.84,0.20,0
114,1132.3,605.1,58.2,26.2,12.84,0.20,0
115,519.1,609.8,69.4,31.2,12.84,0.20,0
116,1237.7,616.5,60.9,27.4,12.84,0.20,0
117,945.8,620.3,66.0,29.7,12.84,0.20,0
118,706.8,624.4,69.7,31.4,12.84,0.20,0
119,581.9,639.3,62.3,28.0,12.84,0.20,0
120,642.8,652.2,22.0,9.9,12.84,0.35,1
121,154.8,653.4,59.8,26.9,12.84,0.20,0
122,648.9,673.4,22.0,9.9,12.84,0.35,1
123,1373.7,673.3,90.3,31.5,12.84,0.20,0
124,411.8,674.1,71.3,31.5,12.84,0.20,0
125,1055.3,673.8,71.7,31.5,12.84,0.20,0
126,853.4,676.0,60.2,27.1,12.84,0.20,0
127,333.0,686.9,73.4,31.5,12.84,0.20,0
128,515.2,691.2,67.0,30.2,12.84,0.20,0
129,239.5,701.3,76.9,31.5,12.84,0.20,0
130,988.9,700.9,21.9,9.8,12.84,0.35,1
131,1160.0,705.8,62.4,28.1,12.84,0.20,0
132,893.2,721.1,59.8,26.9,12.84,0.20,0
133,997.2,721.1,21.9,9.8,12.84,0.35,1
134,1247.4,728.3,58.8,26.5,12.84,0.20,0
135,765.6,755.6,22.1,10.0,12.84,0.35,1
