geneID,x,y,MIDCount,ExonCount,label
Gene034,921.7,1315.9,1,1,1.0
Gene007,936.2,1298.2,1,1,1.0
Gene015,923.3,1296.5,1,1,1.0
Gene011,914.3,1326.0,1,1,1.0
Gene043,922.7,1281.9,1,1,1.0
Gene009,915.8,1308.6,1,1,1.0
Gene014,931.9,1296.2,1,1,1.0
Gene044,913.0,1298.5,1,1,1.0
Gene025,898.5,1279.4,1,1,1.0
Gene027,934.1,1291.3,1,1,1.0
Gene059,928.0,1315.7,1,1,1.0
Gene002,932.0,1298.5,1,1,1.0
Gene023,953.3,1307.8,1,1,1.0
Gene031,917.5,1308.7,1,1,1.0
Gene032,928.5,1285.8,1,1,1.0
Gene028,923.7,1295.8,1,1,1.0
Gene007,894.3,1295.7,1,1,1.0
Gene009,918.6,1291.8,1,1,1.0
Gene035,899.0,1293.0,1,1,1.0
Gene019,922.1,1299.6,1,1,10.0
Gene013,906.3,1307.3,1,1,1.0
Gene001,905.1,1294.9,1,1,1.0
Gene018,941.4,1288.2,1,1,1.0
Gene009,915.3,1313.6,1,1,1.0
Gene032,917.1,1293.9,1,1,1.0
Gene014,925.8,1313.3,1,1,1.0
Gene038,890.9,1286.2,1,1,1.0
Gene010,908.1,1282.6,1,1,204.0
Gene017,910.3,1286.1,1,1,1.0
Gene010,927.0,1285.4,1,1,1.0
Gene035,924.4,1303.9,1,1,1.0
Gene018,912.2,1300.0,1,1,189.0
Gene012,946.1,1302.8,1,1,1.0
Gene055,913.5,1297.2,1,1,1.0
Gene025,909.5,1302.0,1,1,1.0
Gene014,935.0,1286.4,1,1,1.0
Gene044,919.6,1314.1,1,1,1.0
Gene015,915.5,1300.8,1,1,1.0
Gene053,908.0,1286.4,1,1,1.0
Gene013,915.3,1328.6,1,1,1.0
Gene058,916.9,1290.7,1,1,1.0
Gene006,914.7,1295.8,1,1,1.0
Gene030,931.8,1300.8,1,1,1.0
Gene013,951.4,1301.1,1,1,1.0
Gene016,942.9,1302.0,1,1,1.0
Gene019,931.1,1277.9,1,1,1.0
Gene005,920.9,1297.2,1,1,1.0
Gene012,919.2,1268.0,1,1,1.0
Gene010,935.0,1292.7,1,1,1.0
Gene031,916.5,1294.6,1,1,1.0
Gene012,919.4,1303.9,1,1,1.0
Gene017,904.8,1285.1,1,1,1.0
Gene014,926.7,1300.2,1,1,1.0
Gene012,917.4,1290.1,1,1,1.0
Gene052,910.9,1297.3,1,1,213.0
Gene017,939.2,1283.3,1,1,1.0
Gene021,944.0,1310.0,1,1,1.0
Gene027,916.3,1309.1,1,1,168.0
Gene040,902.1,1273.9,1,1,1.0
Gene013,904.6,1292.4,1,1,1.0
Gene008,918.1,1290.9,1,1,1.0
Gene016,924.0,1268.3,1,1,1.0
Gene011,929.6,1278.3,1,1,1.0
Gene002,913.4,1292.4,1,1,1.0
Gene051,906.4,1279.0,1,1,1.0
Gene019,908.5,1298.0,1,1,1.0
Gene015,930.9,1306.1,1,1,1.0
Gene010,908.7,1287.1,1,1,1.0
Gene033,909.7,1304.5,1,1,1.0
Gene018,894.1,1315.5,1,1,1.0
Gene011,915.8,1287.2,1,1,1.0
Gene058,927.4,1312.6,1,1,1.0
Gene054,927.4,1312.9,1,1,1.0
Gene051,924.5,1315.4,1,1,1.0
Gene040,940.1,1296.8,1,1,1.0
Gene018,942.8,1300.5,1,1,1.0
Gene013,923.8,1285.3,1,1,1.0
Gene021,918.6,1309.0,1,1,1.0
Gene011,904.3,1307.2,1,1,1.0
Gene019,927.5,1302.0,1,1,1.0
Gene007,891.7,1296.7,1,1,1.0
Gene001,931.7,1287.5,1,1,1.0
Gene028,923.9,1264.9,1,1,1.0
Gene014,932.0,1288.9,1,1,1.0
Gene026,934.8,1272.4,1,1,1.0
Gene035,932.3,1294.8,1,1,1.0
Gene041,933.9,1285.2,1,1,1.0
Gene019,914.0,1329.5,1,1,1.0
Gene043,911.0,1288.3,1,1,1.0
Gene022,918.8,1283.8,1,1,1.0
Gene052,939.3,1322.3,1,1,1.0
Gene048,912.8,1274.0,1,1,1.0
Gene004,939.0,1313.7,1,1,1.0
Gene013,934.1,1314.3,1,1,1.0
Gene015,910.5,1295.8,1,1,1.0
Gene012,903.3,1278.3,1,1,1.0
Gene011,936.4,1288.7,1,1,1.0
Gene046,954.5,1299.2,1,1,1.0
Gene002,913.7,1309.3,1,1,1.0
Gene011,947.8,1305.0,1,1,1.0
Gene033,905.6,1303.3,1,1,1.0
Gene012,941.9,1291.2,1,1,1.0
Gene013,911.8,1312.4,1,1,1.0
Gene056,924.6,1282.7,1,1,1.0
Gene033,917.3,1287.6,1,1,1.0
Gene016,926.8,1299.7,1,1,1.0
Gene010,938.7,1308.1,1,1,1.0
Gene013,900.7,1303.9,1,1,1.0
Gene057,935.2,1304.5,1,1,1.0
Gene037,937.1,1290.5,1,1,1.0
Gene007,909.3,1311.2,1,1,1.0
Gene027,907.7,1267.9,1,1,1.0
Gene015,937.0,1288.0,1,1,1.0
Gene029,918.3,1278.6,1,1,1.0
Gene013,904.1,1282.0,1,1,1.0
Gene010,917.6,1303.3,1,1,134.0
Gene002,890.5,1308.7,1,1,1.0
Gene013,906.1,1283.2,1,1,1.0
Gene044,932.1,1297.1,1,1,1.0
Gene048,901.1,1324.0,1,1,1.0
Gene025,910.6,1301.6,1,1,1.0
Gene032,925.4,1317.9,1,1,1.0
Gene011,916.3,1312.3,1,1,1.0
Gene014,912.2,1313.9,1,1,1.0
Gene048,911.9,1293.1,1,1,1.0
Gene058,949.2,1302.6,1,1,1.0
Gene016,924.2,1329.5,1,1,1.0
Gene035,927.7,1286.7,1,1,1.0
Gene052,932.9,1281.6,1,1,1.0
Gene059,938.4,1315.0,1,1,1.0
Gene013,914.6,1289.4,1,1,1.0
Gene021,925.1,1298.4,1,1,1.0
Gene015,908.9,1306.1,1,1,1.0
Gene016,894.0,1292.1,1,1,1.0
Gene016,917.0,1294.3,1,1,278.0
Gene013,926.9,1281.0,1,1,1.0
Gene002,930.9,1295.6,1,1,1.0
Gene034,913.5,1279.0,1,1,1.0
Gene026,906.1,1303.2,1,1,1.0
Gene042,909.1,1299.1,1,1,1.0
Gene011,937.5,1312.6,1,1,1.0
Gene012,944.5,1294.0,1,1,1.0
Gene019,907.4,1312.4,1,1,1.0
Gene053,927.0,1313.9,1,1,1.0
Gene016,922.8,1314.9,1,1,1.0
Gene012,934.5,1308.2,1,1,204.0
Gene019,929.7,1303.7,1,1,1.0
Gene055,925.9,1301.3,1,1,1.0
Gene045,936.5,1291.0,1,1,1.0
Gene048,946.9,1296.7,1,1,143.0
Gene015,936.4,1296.9,1,1,1.0
Gene013,919.2,1326.6,1,1,1.0
Gene045,918.3,1280.3,1,1,1.0
Gene036,912.6,1293.7,1,1,1.0
Gene043,952.8,1301.0,1,1,1.0
Gene015,935.7,1284.1,1,1,1.0
Gene013,927.6,1307.6,1,1,1.0
Gene012,947.9,1288.4,1,1,1.0
Gene045,931.1,1302.4,1,1,1.0
Gene051,908.3,1297.9,1,1,1.0
Gene015,918.9,1265.6,1,1,1.0
Gene046,931.0,1305.7,1,1,1.0
